time (seconds),encoderLeft (meters),encoderRight (meters)
81.099,-0.0009385384037159383,-0.001044944510795176
81.197,-0.0009397207759320736,-0.0010462566278874874
81.301,-0.0009409026824869215,-0.0010475707240402699
81.401,-0.0009420416899956763,-0.0010488413972780108
81.5,-0.0009431715589016676,-0.0010501013603061438
81.595,-0.0009443507879041135,-0.0010514120804145932
81.693,-0.0009454775718040764,-0.0010526695987209678
81.802,-0.0009466405608691275,-0.0010539641370996833
81.902,-0.0009478337597101927,-0.0010552899911999702
81.997,-0.0009490054799243808,-0.0010565957054495811
82.101,-0.0009501750464551151,-0.001057894784025848
82.194,-0.0009513215045444667,-0.0010591732570901513
82.3,-0.0009524542838335037,-0.00106043613050133
82.414,-0.0009536246652714908,-0.0010617391671985388
82.497,-0.0009547544177621603,-0.0010629984317347407
82.596,-0.000955939874984324,-0.0010643162531778216
82.697,-0.0009570462862029672,-0.0010655536316335201
82.788,-0.0009582287748344243,-0.001066866796463728
82.897,-0.0009593979339115322,-0.0010681658750399947
82.996,-0.0009605673840269446,-0.0010694690281525254
83.105,-0.0009617453324608505,-0.0010707767214626074
83.201,-0.0009628863772377372,-0.0010720494901761413
83.3,-0.0009640462230890989,-0.0010733414674177766
83.398,-0.0009651875589042902,-0.0010746130719780922
83.5,-0.0009663772070780396,-0.0010759379947558045
83.6,-0.000967546075116843,-0.0010772409150376916
83.698,-0.0009687216370366514,-0.001078548259101808
83.801,-0.0009698931826278567,-0.0010798511793836951
83.902,-0.0009710426675155759,-0.001081130700185895
84.003,-0.0009722139802761376,-0.0010824345517903566
84.101,-0.0009733874467201531,-0.0010837407317012548
84.195,-0.0009745575953274965,-0.0010850393446162343
84.301,-0.0009756904910318553,-0.001086304197087884
84.397,-0.0009768474847078323,-0.001087592332623899
84.501,-0.000977979158051312,-0.0010888554388657212
84.6,-0.0009791436605155468,-0.001090149744413793
84.704,-0.0009803104912862182,-0.0010914488229900599
84.802,-0.00098147161770612,-0.0010927390540018678
84.899,-0.0009826255263760686,-0.0010940254433080554
85.003,-0.0009838027181103826,-0.0010953355813398957
85.101,-0.0009849733905866742,-0.0010966347763314843
85.205,-0.0009861324215307832,-0.0010979264043271542
85.307,-0.0009873025119304657,-0.0010992251336574554
85.404,-0.0009884507162496448,-0.0011005073320120573
85.501,-0.000989639898762107,-0.0011018263176083565
85.603,-0.0009908016072586179,-0.0011031220201402903
85.702,-0.000991938984952867,-0.0011043912963941693
85.807,-0.0009931069798767567,-0.0011056914227083325
85.902,-0.0009942881297320127,-0.0011070012114942074
85.999,-0.0009953993139788508,-0.001108243246562779
86.104,-0.0009966008365154266,-0.0011095759691670537
86.197,-0.0009977034060284495,-0.0011108102044090629
86.298,-0.0009989086538553238,-0.0011121457209810615
86.39,-0.0010000683832913637,-0.001113436883315444
86.497,-0.0010012091370299459,-0.0011147077893838286
86.601,-0.0010023668874055147,-0.001115997089073062
86.695,-0.001003541168756783,-0.0011173038510605693
86.8,-0.0010047134710475802,-0.0011186044430360198
86.899,-0.0010058333864435554,-0.0011198566062375903
87.001,-0.0010070368880406022,-0.0011211930541321635
87.113,-0.0010082075605168939,-0.0011224958579987288
87.204,-0.0010093522723764181,-0.0011237715370953083
87.3,-0.0010105263208970428,-0.0011250803945586085
87.402,-0.0010116829071193933,-0.0011263712076470256
87.501,-0.0010128635913133621,-0.0011276807636022568
87.602,-0.0010140050435438752,-0.0011289544636383653
87.702,-0.0010151214664801955,-0.0011302018538117409
87.802,-0.001016311696730554,-0.0011315238662064075
87.901,-0.0010174347553402185,-0.00113277870696038
88.001,-0.0010186280123889446,-0.001134101883508265
88.101,-0.0010197608498856425,-0.0011353673180565238
88.202,-0.0010209344327449799,-0.0011366702383384109
88.301,-0.0010220621479675174,-0.0011379299685359001
88.395,-0.0010232338681817055,-0.001139231724664569
88.5,-0.0010243667056784034,-0.001140494947321713
88.6,-0.0010255167726427317,-0.001141777727752924
88.7,-0.001026685582473874,-0.0011430775048211217
88.799,-0.0010278129484504461,-0.0011443360708653927
88.895,-0.0010289951460435987,-0.0011456499341875315
88.999,-0.0010301193688064814,-0.0011469055898487568
89.095,-0.0010312488302588463,-0.0011481672991067171
89.202,-0.001032430212944746,-0.0011494775535538793
89.301,-0.0010335487313568592,-0.0011507292510941625
89.407,-0.0010347426868975163,-0.0011520518455654383
89.5,-0.0010359029984101653,-0.00115334358997643
89.596,-0.0010370329255238175,-0.0011546071618795395
89.707,-0.001038237358443439,-0.0011559451231732965
89.799,-0.0010393946431577206,-0.0011572320945560932
89.888,-0.0010405437787994742,-0.0011585139436647296
89.999,-0.0010417115408927202,-0.001159812556579709
90.099,-0.0010428415844216943,-0.0011610740330070257
90.193,-0.001044021570123732,-0.001162385568022728
90.299,-0.001045145676471293,-0.0011636399431154132
90.405,-0.0010463176295161247,-0.0011649440275505185
90.502,-0.0010474943555891514,-0.0011662524193525314
90.601,-0.001048654317855835,-0.001167544163763523
90.697,-0.001049799844622612,-0.0011688226368278265
90.8,-0.001050916500389576,-0.0011700642062351108
90.894,-0.001050916500389576,-0.0011700642062351108
